執照類別,核發執照字號,原領執照字號,變更設計次數,基地面積,建築面積,總樓地板面積,建築物高度,地下避難面積,法定空地面積,建造類別,構造別,地上層數,地下層數,棟數,戶數,起造人代表人,設計人,監造人,承造人,雜項工作物,停車空間,發照日期,實際開工日期,竣工日期,qtime,樓層概要,地號,門牌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建造執照,107淡建字第00555號,,0,1666.14㎡,657.9㎡,5962.63㎡,21.6㎡,657.9㎡,1008.24㎡,新建,鋼筋混凝土構造,6層,3層,2棟,44戶,大隱開發建設股份有限公司(負責人:張裕能),謝政Ｏ,賴良Ｏ,遠碩營造股份有限公司,1.RC造水溝L=124m、寬度0.5m、H=0.5m，2.挖方數量12862.32m3。,法定35輛，獎勵0輛，自設1輛,107年12月11日,108年09月16日,,1071211,[樓層別:A棟，樓層高度:4.0ｍ，樓層面積:644.58㎡，樓層用途:停車空間]，[樓層別:A棟，樓層高度:3.8ｍ，樓層面積:716.55㎡，樓層用途:停車空間]，[樓層別:A棟，樓層高度:4.5ｍ，樓層面積:814.73㎡，樓層用途:防空避難室兼供停車空間、管委會使用空間]，[樓層別:A棟，樓層高度:3.6ｍ，樓層面積:703.65㎡，樓層用途:管委會使用空間、H2集合住宅、G3店舖]，[樓層別:A棟，樓層高度:3.5ｍ，樓層面積:613.16㎡，樓層用途:H2集合住宅、G2辦公室]，[樓層別:A棟，樓層高度:3.5ｍ，樓層面積:567.23㎡，樓層用途:H2集合住宅]，[樓層別:A棟，樓層高度:3.5ｍ，樓層面積:563.57㎡，樓層用途:H2集合住宅]，[樓層別:A棟，樓層高度:3.5ｍ，樓層面積:568.03㎡，樓層用途:H2集合住宅]，[樓層別:A棟，樓層高度:3.5ｍ，樓層面積:526.36㎡，樓層用途:H2集合住宅]，[樓層別:A棟，樓層高度:3.0ｍ，樓層面積:81.59㎡，樓層用途:樓梯間、電梯間]，[樓層別:A棟，樓層高度:3.0ｍ，樓層面積:81.59㎡，樓層用途:樓梯間,水箱、電梯間]，[樓層別:A棟，樓層高度:3.0ｍ，樓層面積:81.59㎡，樓層用途:機械室,水箱],[行政區:新北市淡水區，地段:水仙段，地號母號:0220，地號子號:0000]，[行政區:新北市淡水區，地段:水仙段，地號母號:0221，地號子號:0004]，[行政區:新北市淡水區，地段:水仙段，地號母號:0221，地號子號:0006]，[行政區:新北市淡水區，地段:水仙段，地號母號:0221，地號子號:0007],[路街段巷弄:，號:，樓:],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建造執照,107淡建字第00555號,,0,1666.14㎡,657.9㎡,5962.63㎡,21.6㎡,657.9㎡,1008.24㎡,新建,鋼筋混凝土構造,6層,3層,2棟,44戶,大隱開發建設股份有限公司(負責人:張裕能),謝政Ｏ,賴良Ｏ,遠碩營造股份有限公司,1.RC造水溝L=124m、寬度0.5m、H=0.5m，2.挖方數量12862.32m3。,法定35輛，獎勵0輛，自設1輛,107年12月11日,108年09月16日,,1071211,[樓層別:A棟，樓層高度:4.0ｍ，樓層面積:644.58㎡，樓層用途:停車空間]，[樓層別:A棟，樓層高度:3.8ｍ，樓層面積:716.55㎡，樓層用途:停車空間]，[樓層別:A棟，樓層高度:4.5ｍ，樓層面積:814.73㎡，樓層用途:防空避難室兼供停車空間、管委會使用空間]，[樓層別:A棟，樓層高度:3.6ｍ，樓層面積:703.65㎡，樓層用途:管委會使用空間、H2集合住宅、G3店舖]，[樓層別:A棟，樓層高度:3.5ｍ，樓層面積:613.16㎡，樓層用途:H2集合住宅、G2辦公室]，[樓層別:A棟，樓層高度:3.5ｍ，樓層面積:567.23㎡，樓層用途:H2集合住宅]，[樓層別:A棟，樓層高度:3.5ｍ，樓層面積:563.57㎡，樓層用途:H2集合住宅]，[樓層別:A棟，樓層高度:3.5ｍ，樓層面積:568.03㎡，樓層用途:H2集合住宅]，[樓層別:A棟，樓層高度:3.5ｍ，樓層面積:526.36㎡，樓層用途:H2集合住宅]，[樓層別:A棟，樓層高度:3.0ｍ，樓層面積:81.59㎡，樓層用途:樓梯間、電梯間]，[樓層別:A棟，樓層高度:3.0ｍ，樓層面積:81.59㎡，樓層用途:樓梯間,水箱、電梯間]，[樓層別:A棟，樓層高度:3.0ｍ，樓層面積:81.59㎡，樓層用途:機械室,水箱],[行政區:新北市淡水區，地段:水仙段，地號母號:0220，地號子號:0000]，[行政區:新北市淡水區，地段:水仙段，地號母號:0221，地號子號:0004]，[行政區:新北市淡水區，地段:水仙段，地號母號:0221，地號子號:0006]，[行政區:新北市淡水區，地段:水仙段，地號母號:0221，地號子號:0007],[路街段巷弄:，號:，樓:],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建造執照,107淡建字第00555號,,0,1666.14㎡,657.9㎡,5962.63㎡,21.6㎡,657.9㎡,1008.24㎡,新建,鋼筋混凝土構造,6層,3層,2棟,44戶,大隱開發建設股份有限公司(負責人:張裕能),謝政Ｏ,謝政Ｏ,遠碩營造股份有限公司,1.RC造水溝L=124m、寬度0.5m、H=0.5m，2.挖方數量12862.32m3。,法定35輛，獎勵0輛，自設1輛,107年12月11日,108年09月16日,,1071211,[樓層別:A棟，樓層高度:4.0ｍ，樓層面積:644.58㎡，樓層用途:停車空間]，[樓層別:A棟，樓層高度:3.8ｍ，樓層面積:716.55㎡，樓層用途:停車空間]，[樓層別:A棟，樓層高度:4.5ｍ，樓層面積:814.73㎡，樓層用途:防空避難室兼供停車空間、管委會使用空間]，[樓層別:A棟，樓層高度:3.6ｍ，樓層面積:703.65㎡，樓層用途:管委會使用空間、H2集合住宅、G3店舖]，[樓層別:A棟，樓層高度:3.5ｍ，樓層面積:613.16㎡，樓層用途:H2集合住宅、G2辦公室]，[樓層別:A棟，樓層高度:3.5ｍ，樓層面積:567.23㎡，樓層用途:H2集合住宅]，[樓層別:A棟，樓層高度:3.5ｍ，樓層面積:563.57㎡，樓層用途:H2集合住宅]，[樓層別:A棟，樓層高度:3.5ｍ，樓層面積:568.03㎡，樓層用途:H2集合住宅]，[樓層別:A棟，樓層高度:3.5ｍ，樓層面積:526.36㎡，樓層用途:H2集合住宅]，[樓層別:A棟，樓層高度:3.0ｍ，樓層面積:81.59㎡，樓層用途:樓梯間、電梯間]，[樓層別:A棟，樓層高度:3.0ｍ，樓層面積:81.59㎡，樓層用途:樓梯間,水箱、電梯間]，[樓層別:A棟，樓層高度:3.0ｍ，樓層面積:81.59㎡，樓層用途:機械室,水箱],[行政區:新北市淡水區，地段:水仙段，地號母號:0220，地號子號:0000]，[行政區:新北市淡水區，地段:水仙段，地號母號:0221，地號子號:0004]，[行政區:新北市淡水區，地段:水仙段，地號母號:0221，地號子號:0006]，[行政區:新北市淡水區，地段:水仙段，地號母號:0221，地號子號:0007],[路街段巷弄:，號:，樓:],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建造執照,107淡建字第00555號,,0,1666.14㎡,657.9㎡,5962.63㎡,21.6㎡,657.9㎡,1008.24㎡,新建,鋼筋混凝土構造,6層,3層,2棟,44戶,大隱開發建設股份有限公司(負責人:張裕能),謝政Ｏ,謝政Ｏ,遠碩營造股份有限公司,1.RC造水溝L=124m、寬度0.5m、H=0.5m，2.挖方數量12862.32m3。,法定35輛，獎勵0輛，自設1輛,107年12月11日,108年09月16日,,1071211,[樓層別:A棟，樓層高度:4.0ｍ，樓層面積:644.58㎡，樓層用途:停車空間]，[樓層別:A棟，樓層高度:3.8ｍ，樓層面積:716.55㎡，樓層用途:停車空間]，[樓層別:A棟，樓層高度:4.5ｍ，樓層面積:814.73㎡，樓層用途:防空避難室兼供停車空間、管委會使用空間]，[樓層別:A棟，樓層高度:3.6ｍ，樓層面積:703.65㎡，樓層用途:管委會使用空間、H2集合住宅、G3店舖]，[樓層別:A棟，樓層高度:3.5ｍ，樓層面積:613.16㎡，樓層用途:H2集合住宅、G2辦公室]，[樓層別:A棟，樓層高度:3.5ｍ，樓層面積:567.23㎡，樓層用途:H2集合住宅]，[樓層別:A棟，樓層高度:3.5ｍ，樓層面積:563.57㎡，樓層用途:H2集合住宅]，[樓層別:A棟，樓層高度:3.5ｍ，樓層面積:568.03㎡，樓層用途:H2集合住宅]，[樓層別:A棟，樓層高度:3.5ｍ，樓層面積:526.36㎡，樓層用途:H2集合住宅]，[樓層別:A棟，樓層高度:3.0ｍ，樓層面積:81.59㎡，樓層用途:樓梯間、電梯間]，[樓層別:A棟，樓層高度:3.0ｍ，樓層面積:81.59㎡，樓層用途:樓梯間,水箱、電梯間]，[樓層別:A棟，樓層高度:3.0ｍ，樓層面積:81.59㎡，樓層用途:機械室,水箱],[行政區:新北市淡水區，地段:水仙段，地號母號:0220，地號子號:0000]，[行政區:新北市淡水區，地段:水仙段，地號母號:0221，地號子號:0004]，[行政區:新北市淡水區，地段:水仙段，地號母號:0221，地號子號:0006]，[行政區:新北市淡水區，地段:水仙段，地號母號:0221，地號子號:0007],[路街段巷弄:，號:，樓:],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建造執照,107林建字第00058號,,0,1312.0㎡,752.0㎡,4605.99㎡,30.5㎡,0㎡,560.0㎡,新建,鋼筋混凝土構造,6層,1層,1棟,6戶,偉昌貿易有限公司負責人:黃美惠,李萬Ｏ,,,,法定12輛，獎勵0輛，自設10輛,107年02月07日,,,1070207,[樓層別:，樓層高度:4.1ｍ，樓層面積:915.17㎡，樓層用途:停車空間]，[樓層別:，樓層高度:5.15ｍ，樓層面積:680.78㎡，樓層用途:C1廠房]，[樓層別:，樓層高度:3.85ｍ，樓層面積:321.79㎡，樓層用途:C1廠房]，[樓層別:，樓層高度:5.15ｍ，樓層面積:627.08㎡，樓層用途:C1廠房]，[樓層別:，樓層高度:5.15ｍ，樓層面積:627.08㎡，樓層用途:C1廠房、管委會使用空間]，[樓層別:，樓層高度:5.15ｍ，樓層面積:627.08㎡，樓層用途:C1廠房]，[樓層別:，樓層高度:5.15ｍ，樓層面積:627.08㎡，樓層用途:C1廠房]，[樓層別:，樓層高度:5.6ｍ，樓層面積:90.48㎡，樓層用途:樓梯間]，[樓層別:，樓層高度:3.2ｍ，樓層面積:89.45㎡，樓層用途:樓梯間、電梯機房],[行政區:新北市林口區，地段:工二段，地號母號:0107，地號子號:0000],[路街段巷弄:，號:，樓:],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建造執照,107淡建字第00090號,,0,1392.33㎡,540.88㎡,5995.22㎡,27.66㎡,799.68㎡,851.45㎡,新建,鋼筋混凝土構造,8層,3層,1棟,43戶,三山原建設有限公司負責人：蔡韶貞,吳慶Ｏ,吳慶Ｏ,鈺宬營造工程有限公司,詳雜項工作物概要表,法定38輛，獎勵0輛，自設5輛,107年03月02日,107年11月29日,,1070302,[樓層別:，樓層高度:3.2ｍ，樓層面積:799.68㎡，樓層用途:停車空間]，[樓層別:，樓層高度:3.2ｍ，樓層面積:799.68㎡，樓層用途:停車空間]，[樓層別:，樓層高度:3.5ｍ，樓層面積:799.68㎡，樓層用途:防空避難室兼停車空間]，[樓層別:，樓層高度:4.2ｍ，樓層面積:419.9㎡，樓層用途:G3ㄧ般零售業、H2集合住宅、管委會辦公室]，[樓層別:，樓層高度:3.2ｍ，樓層面積:424.12㎡，樓層用途:H2集合住宅、管委會會議室]，[樓層別:，樓層高度:3.2ｍ，樓層面積:424.12㎡，樓層用途:H2集合住宅]，[樓層別:，樓層高度:3.2ｍ，樓層面積:424.12㎡，樓層用途:H2集合住宅]，[樓層別:，樓層高度:3.2ｍ，樓層面積:424.12㎡，樓層用途:H2集合住宅]，[樓層別:，樓層高度:3.2ｍ，樓層面積:424.12㎡，樓層用途:H2集合住宅]，[樓層別:，樓層高度:3.2ｍ，樓層面積:426.87㎡，樓層用途:H2集合住宅]，[樓層別:，樓層高度:3.2ｍ，樓層面積:424.12㎡，樓層用途:H2集合住宅]，[樓層別:，樓層高度:2.8ｍ，樓層面積:68.23㎡，樓層用途:樓、電梯間]，[樓層別:，樓層高度:2.6ｍ，樓層面積:68.23㎡，樓層用途:機房、水箱]，[樓層別:，樓層高度:2.7ｍ，樓層面積:68.23㎡，樓層用途:水箱],[行政區:新北市淡水區，地段:鄧公段，地號母號:0493，地號子號:0000]，[行政區:新北市淡水區，地段:鄧公段，地號母號:0494，地號子號:0000]，[行政區:新北市淡水區，地段:鄧公段，地號母號:0495，地號子號:0000]，[行政區:新北市淡水區，地段:鄧公段，地號母號:0501，地號子號:0000]，[行政區:新北市淡水區，地段:鄧公段，地號母號:0502，地號子號:0000]，[行政區:新北市淡水區，地段:鄧公段，地號母號:0503，地號子號:0000]，[行政區:新北市淡水區，地段:鄧公段，地號母號:0505，地號子號:0001]，[行政區:新北市淡水區，地段:鄧公段，地號母號:0506，地號子號:0001],[路街段巷弄:，號:，樓:],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建造執照,107莊建字第00091號,,0,5250.67㎡,1949.66㎡,27956.21㎡,62.3㎡,0㎡,3301.01㎡,新建,鋼筋混凝土構造,15層,2層,9棟,72戶,技佳建設股份有限公司(負責人:許秀鳳),李兆Ｏ,李兆Ｏ,長毅營造有限公司,RC造排水溝L=336.12m，RC造圍牆H=2.0m，L=262.2m。,法定82輛，獎勵0輛，自設79輛,107年03月02日,107年12月28日,,1070302,[樓層別:A~E棟，樓層高度:4.0ｍ，樓層面積:3675.06㎡，樓層用途:防空避難室兼停車空間]，[樓層別:A~E棟，樓層高度:5.0ｍ，樓層面積:3675.06㎡，樓層用途:停車空間]，[樓層別:A~E棟，樓層高度:6.0ｍ，樓層面積:1836.92㎡，樓層用途:B3餐飲業、梯廳]，[樓層別:A~D棟，樓層高度:4.0ｍ，樓層面積:870.08㎡，樓層用途:C2一般廠房、G2一般事務所]，[樓層別:A~D棟，樓層高度:4.0ｍ，樓層面積:820.22㎡，樓層用途:C2一般廠房、G2一般事務所]，[樓層別:A~D棟，樓層高度:4.0ｍ，樓層面積:820.22㎡，樓層用途:C2一般廠房]，[樓層別:A~D棟，樓層高度:4.0ｍ，樓層面積:820.22㎡，樓層用途:C2一般廠房]，[樓層別:A~D棟，樓層高度:4.0ｍ，樓層面積:820.22㎡，樓層用途:C2一般廠房]，[樓層別:A~D棟，樓層高度:4.0ｍ，樓層面積:820.22㎡，樓層用途:C2一般廠房]，[樓層別:A~D棟，樓層高度:4.0ｍ，樓層面積:820.22㎡，樓層用途:C2一般廠房]，[樓層別:A~D棟，樓層高度:4.0ｍ，樓層面積:820.22㎡，樓層用途:C2一般廠房]，[樓層別:A~D棟，樓層高度:4.0ｍ，樓層面積:820.22㎡，樓層用途:C2一般廠房]，[樓層別:A~D棟，樓層高度:4.0ｍ，樓層面積:820.22㎡，樓層用途:C2一般廠房]，[樓層別:A~D棟，樓層高度:4.0ｍ，樓層面積:820.22㎡，樓層用途:C2一般廠房]，[樓層別:A~D棟，樓層高度:4.0ｍ，樓層面積:820.22㎡，樓層用途:C2一般廠房]，[樓層別:A~D棟，樓層高度:4.0ｍ，樓層面積:820.22㎡，樓層用途:C2一般廠房]，[樓層別:A~D棟，樓層高度:4.0ｍ，樓層面積:820.22㎡，樓層用途:C2一般廠房]，[樓層別:A~D棟，樓層高度:3.2ｍ，樓層面積:162.32㎡，樓層用途:樓梯間,電梯間]，[樓層別:A~D棟，樓層高度:2.8ｍ，樓層面積:162.32㎡，樓層用途:樓梯間,水箱]，[樓層別:A~D棟，樓層高度:2.8ｍ，樓層面積:162.32㎡，樓層用途:機械室,水箱]，[樓層別:E棟，樓層高度:4.0ｍ，樓層面積:442.64㎡，樓層用途:G2一般事務所]，[樓層別:E棟，樓層高度:4.0ｍ，樓層面積:440.82㎡，樓層用途:G2一般事務所]，[樓層別:E棟，樓層高度:4.0ｍ，樓層面積:467.72㎡，樓層用途:C2一般廠房]，[樓層別:E棟，樓層高度:4.0ｍ，樓層面積:467.72㎡，樓層用途:C2一般廠房]，[樓層別:E棟，樓層高度:4.0ｍ，樓層面積:467.72㎡，樓層用途:C2一般廠房]，[樓層別:E棟，樓層高度:4.0ｍ，樓層面積:467.72㎡，樓層用途:C2一般廠房]，[樓層別:E棟，樓層高度:4.0ｍ，樓層面積:467.72㎡，樓層用途:C2一般廠房]，[樓層別:E棟，樓層高度:4.0ｍ，樓層面積:467.72㎡，樓層用途:C2一般廠房]，[樓層別:E棟，樓層高度:4.0ｍ，樓層面積:467.72㎡，樓層用途:C2一般廠房]，[樓層別:E棟，樓層高度:4.0ｍ，樓層面積:467.72㎡，樓層用途:C2一般廠房]，[樓層別:E棟，樓層高度:4.0ｍ，樓層面積:467.72㎡，樓層用途:C2一般廠房]，[樓層別:E棟，樓層高度:4.0ｍ，樓層面積:467.72㎡，樓層用途:C2一般廠房]，[樓層別:E棟，樓層高度:4.0ｍ，樓層面積:467.72㎡，樓層用途:C2一般廠房]，[樓層別:E棟，樓層高度:4.0ｍ，樓層面積:467.72㎡，樓層用途:C2一般廠房]，[樓層別:E棟，樓層高度:3.2ｍ，樓層面積:84.39㎡，樓層用途:樓梯間,電梯間]，[樓層別:E棟，樓層高度:2.8ｍ，樓層面積:84.39㎡，樓層用途:樓梯間,水箱]，[樓層別:E棟，樓層高度:2.8ｍ，樓層面積:84.39㎡，樓層用途:機械室,水箱],[行政區:新北市新莊區，地段:興化段，地號母號:0213，地號子號:0000]，[行政區:新北市新莊區，地段:興化段，地號母號:0214，地號子號:0000]，[行政區:新北市新莊區，地段:興化段，地號母號:0215，地號子號:0000],[路街段巷弄:，號:，樓:],,,,,,,,,,,,,,,,,,,,,,,,,,,,
建造執照,104林建字第00562-01號,,1,1979.93㎡,646.19㎡,8879.49㎡,39.6㎡,0㎡,1333.74㎡,新建,鋼筋混凝土構造,12層,3層,2棟,68戶,源峰建設股份有限公司(負責人:孫福成),張耀Ｏ,林基Ｏ,宜陽營造有限公司,RC圍牆L:67.19m;H:2.4m,法定68輛，獎勵0輛，自設14輛,107年09月06日,,,1070906,[樓層別:，樓層高度:3.0ｍ，樓層面積:1183.87㎡，樓層用途:停車空間]，[樓層別:，樓層高度:3.0ｍ，樓層面積:1160.42㎡，樓層用途:停車空間]，[樓層別:，樓層高度:3.35ｍ，樓層面積:1160.42㎡，樓層用途:停車空間]，[樓層別:，樓層高度:4.2ｍ，樓層面積:47.08㎡，樓層用途:壹層車道]，[樓層別:，樓層高度:4.2ｍ，樓層面積:530.7㎡，樓層用途:G3ㄧ般零售業或服務業、H2管委會空間]，[樓層別:，樓層高度:3.2ｍ，樓層面積:441.29㎡，樓層用途:H2集合住宅]，[樓層別:，樓層高度:3.2ｍ，樓層面積:434.03㎡，樓層用途:H2集合住宅]，[樓層別:，樓層高度:3.2ｍ，樓層面積:434.03㎡，樓層用途:H2集合住宅]，[樓層別:，樓層高度:3.2ｍ，樓層面積:434.03㎡，樓層用途:H2集合住宅]，[樓層別:，樓層高度:3.2ｍ，樓層面積:434.03㎡，樓層用途:H2集合住宅]，[樓層別:，樓層高度:3.2ｍ，樓層面積:434.03㎡，樓層用途:H2集合住宅]，[樓層別:，樓層高度:3.2ｍ，樓層面積:434.03㎡，樓層用途:H2集合住宅]，[樓層別:，樓層高度:3.2ｍ，樓層面積:434.03㎡，樓層用途:H2集合住宅]，[樓層別:，樓層高度:3.2ｍ，樓層面積:434.03㎡，樓層用途:H2集合住宅]，[樓層別:，樓層高度:3.2ｍ，樓層面積:434.03㎡，樓層用途:H2集合住宅]，[樓層別:，樓層高度:3.2ｍ，樓層面積:239.62㎡，樓層用途:H2集合住宅]，[樓層別:，樓層高度:2.9ｍ，樓層面積:69.94㎡，樓層用途:樓梯間]，[樓層別:，樓層高度:2.9ｍ，樓層面積:69.94㎡，樓層用途:樓梯間]，[樓層別:，樓層高度:2.9ｍ，樓層面積:69.94㎡，樓層用途:機械室、水箱],[行政區:新北市林口區，地段:力行段，地號母號:1068，地號子號:0000]，[行政區:新北市林口區，地段:力行段，地號母號:1069，地號子號:0000]，[行政區:新北市林口區，地段:力行段，地號母號:1070，地號子號:0000]，[行政區:新北市林口區，地段:力行段，地號母號:1071，地號子號:0000],[路街段巷弄:，號:，樓:],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建造執照,107土建字第00572號,,0,829.9㎡,396.53㎡,3434.35㎡,39.55㎡,433.24㎡,414.95㎡,新建,鋼筋混凝土構造,12層,1層,1棟,47戶,鋐霖建設股份有限公司(負責人:何志宏),劉錦Ｏ,劉錦Ｏ,聯盛營造股份有限公司,詳雜項工作物概要表,法定14輛，獎勵0輛，自設5輛,107年12月20日,108年07月03日,,1071220,[樓層別:1棟，樓層高度:3.6ｍ，樓層面積:433.24㎡，樓層用途:H2防空避難室]，[樓層別:1棟，樓層高度:4.2ｍ，樓層面積:337.92㎡，樓層用途:H2集合住宅、G3店舖(＜500㎡)]，[樓層別:1棟，樓層高度:3.2ｍ，樓層面積:156.65㎡，樓層用途:H2集合住宅、G2一般事務所]，[樓層別:1棟，樓層高度:3.2ｍ，樓層面積:138.46㎡，樓層用途:H2集合住宅]，[樓層別:1棟，樓層高度:3.2ｍ，樓層面積:250.29㎡，樓層用途:H2集合住宅]，[樓層別:1棟，樓層高度:3.2ｍ，樓層面積:250.29㎡，樓層用途:H2集合住宅]，[樓層別:1棟，樓層高度:3.2ｍ，樓層面積:250.29㎡，樓層用途:H2集合住宅]，[樓層別:1棟，樓層高度:3.2ｍ，樓層面積:250.29㎡，樓層用途:H2集合住宅]，[樓層別:1棟，樓層高度:3.2ｍ，樓層面積:250.29㎡，樓層用途:H2集合住宅]，[樓層別:1棟，樓層高度:3.2ｍ，樓層面積:250.29㎡，樓層用途:H2集合住宅]，[樓層別:1棟，樓層高度:3.2ｍ，樓層面積:250.29㎡，樓層用途:H2集合住宅]，[樓層別:1棟，樓層高度:3.2ｍ，樓層面積:250.29㎡，樓層用途:H2集合住宅]，[樓層別:1棟，樓層高度:3.2ｍ，樓層面積:250.29㎡，樓層用途:H2集合住宅]，[樓層別:，樓層高度:3.0ｍ，樓層面積:38.46㎡，樓層用途:H2集合住宅(機械房)]，[樓層別:1棟，樓層高度:3.0ｍ，樓層面積:38.46㎡，樓層用途:H2集合住宅(水箱室)]，[樓層別:1棟，樓層高度:3.0ｍ，樓層面積:38.55㎡，樓層用途:H2集合住宅(水箱室)],[行政區:新北市土城區，地段:頂福段，地號母號:1066，地號子號:0000]，[行政區:新北市土城區，地段:頂福段，地號母號:1067，地號子號:0000]，[行政區:新北市土城區，地段:頂福段，地號母號:1069，地號子號:0000]，[行政區:新北市土城區，地段:頂福段，地號母號:1078，地號子號:0000]，[行政區:新北市土城區，地段:頂福段，地號母號:1079，地號子號:0000]，[行政區:新北市土城區，地段:頂福段，地號母號:1080，地號子號:0000],[路街段巷弄:，號:，樓:],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建造執照,107土建字第00572號,,0,829.9㎡,396.53㎡,3434.35㎡,39.55㎡,433.24㎡,414.95㎡,新建,鋼筋混凝土構造,12層,1層,1棟,47戶,鋐霖建設股份有限公司(負責人:何志宏),劉錦Ｏ,劉錦Ｏ,聯盛營造股份有限公司,詳雜項工作物概要表,法定14輛，獎勵0輛，自設5輛,107年12月20日,108年07月03日,,1071220,[樓層別:1棟，樓層高度:3.6ｍ，樓層面積:433.24㎡，樓層用途:H2防空避難室]，[樓層別:1棟，樓層高度:4.2ｍ，樓層面積:337.92㎡，樓層用途:H2集合住宅、G3店舖(＜500㎡)]，[樓層別:1棟，樓層高度:3.2ｍ，樓層面積:156.65㎡，樓層用途:H2集合住宅、G2一般事務所]，[樓層別:1棟，樓層高度:3.2ｍ，樓層面積:138.46㎡，樓層用途:H2集合住宅]，[樓層別:1棟，樓層高度:3.2ｍ，樓層面積:250.29㎡，樓層用途:H2集合住宅]，[樓層別:1棟，樓層高度:3.2ｍ，樓層面積:250.29㎡，樓層用途:H2集合住宅]，[樓層別:1棟，樓層高度:3.2ｍ，樓層面積:250.29㎡，樓層用途:H2集合住宅]，[樓層別:1棟，樓層高度:3.2ｍ，樓層面積:250.29㎡，樓層用途:H2集合住宅]，[樓層別:1棟，樓層高度:3.2ｍ，樓層面積:250.29㎡，樓層用途:H2集合住宅]，[樓層別:1棟，樓層高度:3.2ｍ，樓層面積:250.29㎡，樓層用途:H2集合住宅]，[樓層別:1棟，樓層高度:3.2ｍ，樓層面積:250.29㎡，樓層用途:H2集合住宅]，[樓層別:1棟，樓層高度:3.2ｍ，樓層面積:250.29㎡，樓層用途:H2集合住宅]，[樓層別:1棟，樓層高度:3.2ｍ，樓層面積:250.29㎡，樓層用途:H2集合住宅]，[樓層別:，樓層高度:3.0ｍ，樓層面積:38.46㎡，樓層用途:H2集合住宅(機械房)]，[樓層別:1棟，樓層高度:3.0ｍ，樓層面積:38.46㎡，樓層用途:H2集合住宅(水箱室)]，[樓層別:1棟，樓層高度:3.0ｍ，樓層面積:38.55㎡，樓層用途:H2集合住宅(水箱室)],[行政區:新北市土城區，地段:頂福段，地號母號:1066，地號子號:0000]，[行政區:新北市土城區，地段:頂福段，地號母號:1067，地號子號:0000]，[行政區:新北市土城區，地段:頂福段，地號母號:1069，地號子號:0000]，[行政區:新北市土城區，地段:頂福段，地號母號:1078，地號子號:0000]，[行政區:新北市土城區，地段:頂福段，地號母號:1079，地號子號:0000]，[行政區:新北市土城區，地段:頂福段，地號母號:1080，地號子號:0000],[路街段巷弄:，號:，樓:],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建造執照,104店建字第00236-01號,,1,469.0㎡,178.94㎡,204.62㎡,9.0㎡,0㎡,281.4㎡,增建,鋼骨鋼筋混凝土構造,2層,0層,2棟,1戶,俞國Ｏ,劉家Ｏ,劉家Ｏ,三財營造有限公司,挖方、填方、排水溝、排水涵管、集水井、滯洪池,法定1輛，獎勵0輛，自設0輛,107年05月17日,,,1070517,[樓層別:，樓層高度:5.2ｍ，樓層面積:97.94㎡，樓層用途:H2住宅]，[樓層別:，樓層高度:2.8ｍ，樓層面積:89.32㎡，樓層用途:H2住宅]，[樓層別:，樓層高度:2.5ｍ，樓層面積:17.36㎡，樓層用途:樓梯間],[行政區:新北市新店區，地段:安坑段四城小段，地號母號:0268，地號子號:0001],[行政區:新北市新店區，路街段巷弄:安康路三段660巷，號:40號，樓:],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
